Question,Category,PredictedAnswer,GroundTruth,Similarity,ErrorType
What did the Bangalore Cantonment refer to?,factual,Krishnaraja Wodeyar IV,The Bangalore Cantonment (1806–1881) was a cantonment of the British Raj based in the Indian city of Bangalore.,0.13719063997268677,Generation failure
What does Sandeep Shukla refer to?,factual,nil),"Sandeep Kumar Shukla is currently the director of International Institute of Information Technology, Hyderabad (IIITH).",0.10606691986322403,Generation failure
What is Krishnendu Chatterjee's profession?,factual,Axilor Ventures,Krishnendu Chatterjee (Bengali: কৃষ্ণেন্দু চ্যাটার্জী) is an Indian computer scientist who is currently a professor at the Institute of Science and Technology Austria (ISTA).,0.07160824537277222,Generation failure
What is Sunil K. Agrawal's occupation?,factual,I don't know.,Agrawal (born 1963) is an Indian roboticist and professor of Fu Foundation School of Engineering and Applied Science with secondary appointment in Rehabilitation and Regenerative Medicine at Columbia University.,0.11196979880332947,Generation failure
What does Kundara refer to?,factual,"Kundara is a census town in Kollam District in the state of Kerala with a total population of 33,959.","Kundara is a satellite town in Kerala and is part of the Kollam Metropolitan Area, India.",0.8524969220161438,Success
What does Vijay Vaishnavi refer to?,factual,data structures,"Vijay Kumar Vaishnavi is a noted researcher and scholar in the computer information systems field with contributions mainly in the areas of design science, software engineering, and data structures & algorithms, authoring over 150 publications including seven books in these and related areas, and co-owning a patent.",0.20361393690109253,Generation failure
What is Ellappa Balagurusamy's occupation?,factual,I don't know.,"Ellappa Balagurusamy is an Indian educator, engineer.",0.0757022276520729,Generation failure
What does Shamkant Navathe refer to?,factual,Dutch were based.,Navathe is a noted researcher in the field of databases with more than 150 publications on different topics in the area of databases.,0.12834715843200684,Generation failure
What is Anantha P. Chandrakasan's profession?,factual,I don't know.,Chandrakasan is the current Provost and Vannevar Bush Professor of Electrical Engineering and Computer Science at Massachusetts Institute of Technology.,0.1100403442978859,Generation failure
"What does Holy Trinity Church, Bengaluru refer to?",factual,I don't know.,"Holy Trinity Church, located at Trinity circle at the east end of the MG Road, is an Anglican church and a major landmark in Bengaluru.",0.03742843121290207,Generation failure
What does Supratik Chakraborty refer to?,factual,I don't know.,Supratik Chakraborty is an Indian computer scientist.,0.11915139853954315,Generation failure
Where are the Bhoopasandra inscriptions and hero stones found?,factual,the inscription,"The Bhoopasandra inscriptions and hero stones are found in Bhoopasandra, a sub-locality in Hebbal, Bengaluru.",0.30699998140335083,Generation failure
What happened during the Indian Rebellion of 1857?,factual,"Colvin called a meeting on 17 May. His first instinct was to withdraw the East India Company's administrators and their families into the Agra Fort but was persuaded by others including Robert Drummond, the chief magistrate, that while the sepoys' loyalty was suspect, the general population of the province was loyal to the British. Any appearance of panic by the British would provoke disturbances. In fact, the news of the rebellion caused public order in the province to break down very rapidly. There was resentment over heavy tax assessments, and other inter-communal feuds soon surfaced. Indian police guards over treasuries and prisons deserted and armed bands roamed the countryside.",The Battle of Agra was a comparatively minor but nevertheless decisive action at the end of a prolonged siege during the Indian Rebellion of 1857.,0.47020024061203003,Generation failure
What does Asian News International v. Wikimedia Foundation refer to?,factual,"The Supreme Court decided to set aside the 2 April and 8 April orders as they were ""broadly worded"" and could not be implemented.",Wikimedia Foundation (CS(OS) 524/2024) is an ongoing civil defamation case in India.,0.15073084831237793,Generation failure
What does Network18 Media & Investments Limited refer to?,factual,I don't know.,Network18 Media & Investments Limited (d/b/a Network18 Group) is an Indian media conglomerate owned by the Reliance Industries with 56.89% share headed by Mukesh Ambani and rest of 43.11% is equity holding.,0.07028570026159286,Generation failure
What is the name of the person that Roopam Sharma refers to?,factual,I don't know.,Roopam Sharma (born 24 May 1995) is an Indian scientist.,0.0671561062335968,Generation failure
What is the difference between John Archibald Ballard's early life and his later life?,comparative,I don't know.,"Lieutenant General John Archibald Ballard, CB LLD RE (20 June 1829 – 1 April 1880) was a British soldier. == Early life and career == Ballard was born in Portbury, Somerset, the second son of George Ballard, a Calcutta Merchant, and Jane Tod daughter of Alexander Tod and Charlote Bruere.",-0.016661662608385086,Generation failure
How do the concepts discussed in WannaCry ransomware attack differ from those discussed in EternalBlue?,comparative,I don't know.,"The WannaCry ransomware attack was a worldwide cyberattack in May 2017 by the WannaCry ransomware cryptoworm, which targeted computers running the Microsoft Windows operating system by encrypting data and demanding ransom payments in the form of bitcoin cryptocurrency. It was propagated using EternalBlue, an exploit developed by the United States National Security Agency (NSA) for Microsoft Windows systems.",0.11140903830528259,Generation failure
What are the concepts discussed in Lazarus Group?,comparative,I don't know.,"The Lazarus Group (also known as the Guardians of Peace or Whois Team) is a state-sponsored hacker group made up of unknown members, alleged to be run by the government of North Korea. While not much is known about the group, researchers have attributed many cyberattacks to them since the 2010s.",0.16605406999588013,Generation failure
What are the different concepts discussed in Kollam Port?,comparative,I don't know.,"Kollam Port or Port of Quilon is one of the oldest ports (established in AD 825) situated 4 kilometres (2.5 mi) away from Downtown Kollam (formerly Quilon) It is the third largest port in Kerala by volume of cargo handled and facilities and one of the four Kerala ports having immigration checkpoint (ICP) facility. Located on the south-west coast of India, it was an important port from the ninth to the seventeenth centuries.",0.057144537568092346,Generation failure
What are the concepts discussed in Anil K. Jain?,comparative,I don't know.,"Anil Kumar Jain (born 1948) is an Indian-American computer scientist and University Distinguished Professor in the Department of Computer Science and Engineering at Michigan State University. He is one of the most highly cited researchers in computer science, and is internationally recognized for his foundational contributions to pattern recognition, computer vision, and biometric recognition, particularly in fingerprint recognition and face recognition.",0.11567017436027527,Generation failure
What are the concepts discussed in Tamal Dey?,comparative,I don't know.,Tamal Krishna Dey (born 1964) is an Indian mathematician and computer scientist specializing in computational geometry and computational topology. He is a professor at Purdue University.,0.05605364218354225,Generation failure
What did Lascar think of the Lascars?,comparative,chhajjas and trellises,"The Lascar War Memorial, located on Napier Road in the Hastings area of Kolkata, is a memorial dedicated to the memory of the 896 lascars (sailors from the Indian subcontinent) who died serving on ships of the Royal Navy and British Merchant Service during World War I. == Lascar == He had thought that the Lascars were a tribe or nation, like the Cherokee or Sioux: he discovered now that they came from places that were far apart, and had nothing in common, except the Indian Ocean; among them were Chinese and East Africans, Arabs and Malays, Bengalis and Goans, Tamils and Arakanese.",0.05464965105056763,Generation failure
What are the concepts discussed in Vaidyeswaran Rajaraman?,comparative,Rajashekharadeva's mother,"Vaidyeswaran Rajaraman (8 September 1933 – 8 November 2025) was an Indian computer scientist, academic and writer known for his pioneering efforts in the field of Computer Science Education in India. He is credited with the establishment of the first academic program in computer science in India, which he helped initiate at the Indian Institute of Technology, Kanpur in 1965.",0.40616220235824585,Generation failure
What are the concepts discussed in N. Gautham?,comparative,I don't know.,"Namasivayam Gautham (born 1955) is a retired Professor Emeritus at the Centre of Advance Study in Crystallography and Biophysics, University of Madras. He is known for his work on DNA Crystallography, protein structure prediction and molecular docking.",0.04711903631687164,Retrieval miss
What is the difference between Vijay Kumar (Roboticist) and UPS Foundation professor?,comparative,I don't know.,Vijay Kumar (born 1962) is an Indian roboticist. He is a UPS Foundation professor at the University of Pennsylvania School of Engineering and Applied Science.,0.07162505388259888,Generation failure
How did the concepts discussed in Political history of Mysore and Coorg (1565–1760) differ from the concepts discussed in Political history of Mysore and Coorg (1565–1760)?,comparative,£1 per hectare,The political history of the region on the Deccan Plateau in west-central peninsular India (Map 1) that was later divided into Mysore state and Coorg province saw many changes after the fall of the Hindu Vijayanagara Empire in 1565. The rise of Sultan Haidar Ali in 1761 introduced a new period.,-0.0577276386320591,Generation failure
How do the concepts discussed in 2020 Palghar mob lynching differ from the ones discussed in 2020 Palghar mob lynching?,comparative,Hindi- and Hindi-language media,"On 16 April 2020, a vigilante group lynched two Hindu Sadhus and their driver in Gadchinchale Village, Palghar District, Maharashtra, India. The incident was fuelled by WhatsApp rumours of thieves operating in the area during the countrywide coronavirus lockdown.",0.0928037092089653,Generation failure
How do the concepts discussed in 2009 Mangalore pub attack differ?,comparative,I don't know.,"On 24 January 2009, the Sri Ram Sena attacked a group of young women and men in a pub in Mangalore, India. A group of 40 activists of the Sri Rama Sena barged into the pub ""Amnesia – The Lounge"" and beat up a group of young women and men, claiming the women were violating traditional Indian values.",0.08587902784347534,Generation failure
What are the concepts discussed in History of Bengaluru?,comparative,Bengaluru over time,"Bengaluru is the capital city of the state of Karnataka. Bengaluru, as a city, was founded by Kempe Gowda I, who built a mud fort at the site in 1537.",0.646879255771637,Success
What is the date when Manju Bansal has specialized in the field of Molecular biophysics?,comparative,I don't know.,"1 December 1950) has specialized in the field of Molecular biophysics. Currently, she is a professor in theoretical Biophysics group for Molecular Biophysics unit in the Indian Institute of Science, Bangalore.",0.0328783318400383,Generation failure
What are the concepts discussed in N. R. Narayana Murthy?,comparative,United Kingdom,"Nagavara Ramarao Narayana Murthy (born 20 August 1946) is an Indian billionaire businessman. He is the founder of Infosys, and was the chairman, chief executive officer (CEO), president, and chief mentor of the company before retiring and becoming chairman emeritus.",0.04880262538790703,Generation failure
How do the concepts discussed in City Wall of Hyderabad differ from the concepts discussed in Old City of Hyderabad?,comparative,I don't know.,"The City Wall of Hyderabad was a city wall surrounding Hyderabad, although the city has expanded significantly beyond the wall. The wall used to enclose the area of present Old City of Hyderabad.",-0.00467991828918457,Generation failure
What are the concepts discussed in Hebbal-Kittayya inscription?,comparative,Hebbal-Kittayya inscription,"Hebbal is a locality situated in the northern part of Bengaluru, is recognized as one of Bengaluru’s oldest regions, with documented history extending back at least 1,300 years. Originally marking the northern boundary of the city, Bengaluru has since expanded significantly northward.",0.5332419276237488,Generation failure
What are the concepts discussed in GhostNet?,comparative,I don't know.,"GhostNet (simplified Chinese: 幽灵网; traditional Chinese: 幽靈網; pinyin: YōuLíngWǎng) is the name given by researchers at the Information Warfare Monitor to a large-scale cyber spying operation discovered in March 2009. The operation is likely associated with an advanced persistent threat, or a network actor that spies undetected.",0.05663947016000748,Generation failure
How do the concepts discussed in PLATINUM (cybercrime group) differ?,comparative,I don't know.,PLATINUM is the name given by Microsoft to a cybercrime collective active against governments and related organizations in South and Southeast Asia. They are secretive and not much is known about the members of the group.,0.10280640423297882,Generation failure
How do the concepts discussed in History of Faizabad differ?,comparative,Shujauddaula,"Local tradition holds Fyzabad or now Faizabad is identical with Saketa of the Ramayana, supposedly the private estate of King Dasharatha, the father of Rama. It is claimed that Saket was renamed after the death of Faiz Baksh, a courtier of the Nawab of Awadh.",0.1769501268863678,Generation failure
How did the concept discussed in WazirX hack differ from the one discussed in 2024 WazirX hack?,comparative,I don't know.,"On July 18, 2024, WazirX, an Indian cryptocurrency exchange was hacked, leading to the loss of approximately $234.9 million (around Rs 2000 crore) in investor funds. The exchange ceased to operate on 18 July 2024.",0.0830681174993515,Generation failure
What are the concepts discussed in Paranandi Venkata Suryanarayana Rao?,comparative,I don't know.,"Paranandi Venkata Suryanarayana Rao is an Indian computer scientist, known for his research in the fields of speech and script recognition and is credited with contributions to the development of TIFRAC, the first indigenously developed electronic computer in India. He is a recipient of awards such as IEEE Third Millenium Medal, Vikram Sarabhai Award, Om Prakash Bhasin Award and VASVIK Industrial Research Award.",0.059540703892707825,Generation failure
What are the concepts discussed in Sivaji Bandyopadhyay?,comparative,I don't know.,Sivaji Bandyopadhyay is an Indian academic and is currently the Chairperson and former Director of National Institute of Technology Silchar. He is a Professor of Computer Science and Engineering.,0.035586241632699966,Generation failure
How did the concepts discussed in Bangalore Cantonment differ from those discussed in the British Raj?,comparative,I don't know.,"The Bangalore Cantonment (1806–1881) was a cantonment of the British Raj based in the Indian city of Bangalore. The cantonment covered an area of 13 square miles (34 km2), extending from the Residency on the west to Binnamangala on the east and from the Tanneries on Tannery Road in the north to AGRAM (Army Group Royal Artillery Maidan - Maidan meaning Ground) in the south.",0.0037133004516363144,Generation failure
Why did many organizations not apply these patches?,inferential,I don't know.,"These patches were imperative to cyber security, but many organizations did not apply them, citing a need for 24/7 operation, the risk of formerly working applications breaking because of the changes, lack of personnel or time to install them, or other reasons.",0.14694097638130188,Generation failure
Why does North Korea benefit from conducting cyber operations?,inferential,I don't know.,"North Korea benefits from conducting cyber operations because it can present an asymmetric threat with a small group of operators, especially to South Korea.",0.10027232021093369,Generation failure
Why did Mar Abo volunteer to the Chera king to create a new seaport town near at Kollam instead of his request for renewing the almost vanishing Tyndis or Nelcynda inland seaport ( kore-ke-ni) at Ko,inferential,I don't know.,"It is also believed that Mar Abo actually volunteered to the Chera king to create a new seaport town near at Kollam instead of his request for renewing the almost vanishing Tyndis or Nelcynda inland seaport ( kore-ke-ni) at Kollam, lying idle without trade for a few centuries because of the Cheras being overrun by Pallavas in the 6th century AD ending the spice trade from Malabar coast.",0.12997548282146454,Generation failure
Why did South Indian rulers and the resources demanded in the name of that sovereignty diminish the resources which local chieftains used as a kind of royal largess?,inferential,The southern chiefs,"The sovereign claims of would-be centralizing, South Indian rulers and the resources demanded in the name of that sovereignty diminished the resources which local chieftains used as a kind of royal largess; thus centralizing demands were opposed on moral as well as on political grounds by even quite modest chiefs.",0.248396098613739,Generation failure
Why did the Wodeyars return to Mysore?,inferential,I don't know.,"== Wodeyars and British East India == Upon the passing of Tipu Sultan, the Wodeyars returned to the throne of Mysore, and therefore Bangalore, although only as figureheads.",0.04612421244382858,Retrieval miss
Why does this happen?,inferential,"IIS, the worm did not test whether the server running on a remote machine was running a vulnerable version of IIS, or even whether it was running IIS at all.","This digital documentation allows for detailed study and analysis, making the inscriptions accessible to researchers and enthusiasts worldwide.",-0.05456425994634628,Retrieval miss
Why do Microsoft's investigators taxonomise this malware into families?,inferential,I don't know.,"Because of the diversity of this malware, the versions of which have little code in common, Microsoft's investigators have taxonomised it into families.",0.09548088908195496,Generation failure
Why did he move?,inferential,easing the climb,"It is said, he moved because he wanted to get away from the control of a dominant mother.",0.08142057061195374,Retrieval miss
Why did the British move their garrison to Bangalore?,inferential,"Isore War, the British renamed Bangalore to the Bangalore Cantonment.",=== Establishment of cantonment === The British found Bangalore to be a pleasant and appropriate place to station their garrison and therefore moved their garrison to Bangalore from Srirangapatna.,0.6762309074401855,Success
"Why does the Garuda Purana state that the act of killing a Brahmana leads to rebirth as a donkey, camel, or a female buffalo?",inferential,Bengaluru Inscription Number,"Similarly, the Garuda Purana states that the act of killing a Brahmana leads to rebirth as a donkey, camel, or a female buffalo.",0.11874948441982269,Generation failure
Why did Greathed's brigade march to a parade ground?,inferential,Cantonment,"Greathed's tired brigade therefore marched to a parade ground about 1.5 miles (2.4 km) from the fort, and began to pitch camp.",0.06506190448999405,Generation failure
"Why is Wikipedia a significant social media ""intermediary"" within the definition of Information Technology Act (IT Act), 2000?",inferential,"Wikipedia, and to prevent the spread of false news, curb obscene information on social media platforms.""","It also argued that Wikipedia is a significant social media ""intermediary"" within the definition of Information Technology Act (IT Act), 2000, and must therefore comply with the requirements of the Act, including taking down any content that the government or its agencies deem violative, or be personally liable for content published under its platform.",0.639947772026062,Success
"Why does RIL's ability to influence the formation of public opinion and as a result the political economy of the country, and also decreased space for reporting which could be detrimental to the energy giant's interests and public relations?",inferential,I don't know.,"Control over the news organisation, had strengthened RIL's ability to influence the formation of public opinion and as a result the political economy of the country, and also decreased space for reporting which could be detrimental to the energy giant's interests and public relations.",0.10843901336193085,Generation failure
Why does the TRAI chief Rahul Khullar say that Airtel cannot be held responsible for violating net neutrality?,inferential,India,The TRAI chief Rahul Khullar said that Airtel cannot be held responsible for violating net neutrality because India has no regulation that demands net neutrality.,0.19812238216400146,Generation failure
Why did the Christians in general resented Hyder Ali's rule?,inferential,I don't know.,"Despite this, the Christians in general resented Hyder Ali's rule because of the heavy taxes they were made to pay to the king's treasury.",0.05334644764661789,Generation failure
Why is Sality considered one of the most complex and formidable forms of malware to date?,inferential,I don't know.,"Because of its continued development and capabilities, Sality is considered one of the most complex and formidable forms of malware to date.",0.0508134551346302,Generation failure
Why does this happen?,inferential,"IIS, the worm did not test whether the server running on a remote machine was running a vulnerable version of IIS, or even whether it was running IIS at all.","Manmohan Singh for remarkable strides in commercialization of affordable robotic and automation systems for educational, medical, and socially relevant causes in collaboration with small and medium enterprises.",0.049111686646938324,Retrieval miss
Why did the second wave leave Goa?,inferential,I don't know.,"The second wave left Goa because of famines, epidemics and political upheavals.",0.05226675048470497,Generation failure
Why did T K Nair alias Thozhur Krishnana Nair hold office until July 1945?,inferential,I don't know.,T K Nair alias Thozhur Krishnana Nair succeeded Dr Menon and held office until July 1945 because the term of the Council was extended due to World War II.,0.04060092195868492,Generation failure
Why does this happen?,inferential,"IIS, the worm did not test whether the server running on a remote machine was running a vulnerable version of IIS, or even whether it was running IIS at all.","As a result, she was granted a special interview and hired immediately.",0.1065499410033226,Retrieval miss
How does the initial concept lead to the final outcome?,multi-hop,I don't know.,"Lieutenant General John Archibald Ballard, CB LLD RE (20 June 1829 – 1 April 1880) was a British soldier. The construction of the Ballard Pier, which was originally a small pier with an approach jetty, enabled the growth of a tiny fishing village called Mumbai into a major port. Westminster: Archibald Constable.",0.018175242468714714,Retrieval miss
What is Anu Garg's occupation?,factual,I don't know.,"Anu Garg (born April 5, 1967) is an American author and speaker.",0.04382108151912689,Generation failure
What does Net neutrality in India refer to?,factual,All India Bakchod,"Mechanisms for establishing rules ensuring net neutrality in India, are at present mainly enforced by the Telecom Regulatory Authority of India (TRAI).",0.2571598291397095,Generation failure
What is a Bangalore torpedo?,factual,I don't know.,A Bangalore torpedo is an explosive charge placed within one or several connected tubes.,0.08886997401714325,Generation failure
What does Chitra Dutta refer to?,factual,I don't know.,"Chitra Dutta is a former chief scientist and head of Structural Biology and Bioinformatics division in CSIR-Indian Institute of Chemical Biology, Kolkata, India.",0.08872325718402863,Generation failure
What was the captivity of Mangalorean Catholics at Seringapatam?,factual,I don't know],"The Captivity of Mangalorean Catholics at Seringapatam (1784–1799) was a 15-year-long imprisonment of Mangalorean Catholics and other Christians at Seringapatam, in the Carnataca region of India by Tippu Sultan; who was the de facto ruler of the Kingdom of Mysore following its usurpation.",0.04603483900427818,Generation failure
What does Hillol Kargupta refer to?,factual,Kashyapa,"Hillol Kargupta is an academic, scientist, and entrepreneur.",0.4340085983276367,Generation failure
What is the classification for a family of malicious software (malware) infecting Microsoft Windows system files?,factual,I don't know.,Sality is the classification for a family of malicious software (malware) infecting Microsoft Windows system files.,0.07886972278356552,Generation failure
What does Lalbagh refer to?,factual,I don't know.,Lalbagh Botanical Garden or simply Lalbagh (lit.,0.013360363431274891,Generation failure
What does Prakash Naidu refer to?,factual,I don't know.,Prakash Naidu is a scientist in the field of Design for Automation.,0.10201935470104218,Generation failure
"What is the legacy of Lusitanian culture or the Christianisation in Portuguese in Goa and Bombay, followed by the migration of the New Christians of Portuguese Goa, to the Canara subregion then under the Kingdom of Bednore from the mid-16th to mid-18th centuries",factual,I don't know.,"The History of Mangalorean Catholics begins with the legacy of Lusitanian culture or the Christianisation in Portuguese in Goa and Bombay, followed by the migration of the New Christians of Portuguese Goa, to the Canara subregion then under the Kingdom of Bednore from the mid-16th to mid-18th centuries and the subsequent formation of a unique Mangalorean Catholic community and identity.",0.019402261823415756,Generation failure
What does Madan Babu refer to?,factual,I don't know.,Madan Babu is an Indian-American computational biologist and bioinformatician.,0.0968126654624939,Generation failure
What did the Cochin Legislative Council refer to?,factual,I don't know.,The Cochin Legislative Council was a unicameral legislative body of the Cochin State that functioned from 1925 to 1948 before the merger of Cochin and Travancore to form the Travancore–Cochin state and the Travancore–Cochin Legislative Assembly.,0.031567152589559555,Generation failure
What does the National Cyber Crime Coordination Centre refer to?,factual,National Security Council Secretariat are exempted from the applicability of any transparency law like Right to Information Act.,"The National Cyber Crime Coordination Centre (1930; Hindi: भारतीय साइबर अपराध समन्वय केंद्र) is a government initiative to deal with cybercrime in India, in a coordinated and effective manner.",0.202255517244339,Generation failure
"What does Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021 refer to?",factual,I don't know.,"The Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021 is secondary or subordinate legislation that suppresses India's Intermediary Guidelines Rules 2011.",0.14705057442188263,Generation failure
